pipeline,difficulty,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean
rag_classic:anthropic:k=1,easy,48,0.1609045584045584,0.36998206563967434,0.6300179343603257
rag_classic:anthropic:k=1,hard,12,0.11071428571428571,0.4867854367854368,0.5132145632145632
rag_classic:anthropic:k=1,medium,144,0.23275148491286263,0.3790118720477531,0.6209881279522469
rag_classic:anthropic:k=3,easy,48,0.1291774487086987,0.49485064098483217,0.5051493590151678
rag_classic:anthropic:k=3,hard,12,0.08257575757575757,0.6280846560846561,0.3719153439153439
rag_classic:anthropic:k=3,medium,144,0.20306020994531254,0.4986684210952044,0.5013315789047956
rag_classic:anthropic:k=5,easy,48,0.1885851206541996,0.557704026239372,0.442295973760628
rag_classic:anthropic:k=5,hard,12,0.02435094408133624,0.5834772798008092,0.4165227201991908
rag_classic:anthropic:k=5,medium,144,0.2188860253589108,0.5415421978950465,0.45845780210495346
rag_classic:deepseek:k=1,medium,14,0.26963413570556427,0.46465201465201467,0.5353479853479853
rag_classic:deepseek:k=3,medium,12,0.1832827575474634,0.5784844240726593,0.4215155759273406
rag_classic:deepseek:k=5,medium,12,0.20548030400971576,0.6709440069734187,0.32905599302658123
rag_classic:openai:k=1,easy,48,0.1940859788359788,0.30300099206349207,0.6969990079365079
rag_classic:openai:k=1,hard,4,0.0,0.5,0.5
rag_classic:openai:k=1,medium,143,0.25447859056250666,0.3631350043119274,0.6368649956880726
rag_classic:openai:k=3,easy,48,0.16051421957671957,0.3587615740740741,0.641238425925926
rag_classic:openai:k=3,hard,4,0.0,0.525,0.475
rag_classic:openai:k=3,medium,142,0.26288568239272464,0.5397014192380389,0.460298580761961
rag_classic:openai:k=5,easy,48,0.15725514069264068,0.4263204966329966,0.5736795033670034
rag_classic:openai:k=5,hard,4,0.15000000000000002,0.7875,0.2125
rag_classic:openai:k=5,medium,143,0.2872374874542707,0.5445034898279654,0.4554965101720347
rag_dspy:openai:k=1,easy,48,0.3836805555555556,0.7343055555555557,0.26569444444444446
rag_dspy:openai:k=1,hard,4,0.0625,0.75,0.25
rag_dspy:openai:k=1,medium,144,0.3591356328856329,0.6047858160358159,0.39521418396418395
rag_dspy:openai:k=3,easy,48,0.34604166666666664,0.8079861111111111,0.1920138888888889
rag_dspy:openai:k=3,hard,4,0.0,0.5,0.5
rag_dspy:openai:k=3,medium,144,0.30429309116809117,0.7881116452991452,0.21188835470085468
rag_dspy:openai:k=5,easy,48,0.3297222222222222,0.8386805555555555,0.16131944444444446
rag_dspy:openai:k=5,hard,4,0.0,1.0,0.0
rag_dspy:openai:k=5,medium,144,0.349097968389635,0.8030182132682132,0.19698178673178673
rag_graph:anthropic:k=1:mn=10,easy,48,0.1468379243592092,0.4484811750749251,0.551518824925075
rag_graph:anthropic:k=1:mn=10,hard,12,0.08002415458937198,0.3796333357904565,0.6203666642095435
rag_graph:anthropic:k=1:mn=10,medium,143,0.22738281759667475,0.5494617948167758,0.4505382051832242
rag_graph:anthropic:k=3:mn=10,easy,48,0.11940373590189766,0.5860583451312351,0.4139416548687649
rag_graph:anthropic:k=3:mn=10,hard,10,0.08116883116883117,0.6911991341991343,0.3088008658008658
rag_graph:anthropic:k=3:mn=10,medium,144,0.24725242441241724,0.6487926438698489,0.3512073561301511
rag_graph:anthropic:k=5:mn=10,easy,48,0.15016182620306662,0.546103829496421,0.45389617050357894
rag_graph:anthropic:k=5:mn=10,hard,14,0.08256683375104427,0.6477882236810809,0.35221177631891915
rag_graph:anthropic:k=5:mn=10,medium,144,0.20142426323624443,0.5898599153617057,0.4101400846382944
rag_graph:deepseek:k=1:mn=10,medium,12,0.11492673992673992,0.5318463943463944,0.4681536056536057
rag_graph:deepseek:k=3:mn=10,medium,12,0.17357642357642358,0.6908508158508159,0.3091491841491842
rag_graph:deepseek:k=5:mn=10,medium,12,0.19985847485847485,0.6099747474747474,0.39002525252525255
rag_graph:openai:k=1:mn=10,easy,48,0.22484457671957672,0.3771693121693122,0.6228306878306878
rag_graph:openai:k=1:mn=10,hard,4,0.0,0.2,0.8
rag_graph:openai:k=1:mn=10,medium,143,0.24377467753691529,0.5069116345969493,0.49308836540305073
rag_graph:openai:k=3:mn=10,easy,48,0.1707999639249639,0.44825607263107264,0.5517439273689274
rag_graph:openai:k=3:mn=10,hard,4,0.16666666666666666,0.3333333333333333,0.6666666666666667
rag_graph:openai:k=3:mn=10,medium,143,0.32510765070205633,0.6352547840659729,0.36474521593402714
rag_graph:openai:k=5:mn=10,easy,48,0.1445982142857143,0.3737453403078403,0.6262546596921598
rag_graph:openai:k=5:mn=10,hard,8,0.09208333333333334,0.5829166666666666,0.41708333333333336
rag_graph:openai:k=5:mn=10,medium,143,0.2300509863097276,0.5901998770460309,0.4098001229539691
zeroshot:anthropic,easy,48,0.12564053967546615,,
zeroshot:anthropic,hard,10,0.03922222222222223,,
zeroshot:anthropic,medium,144,0.1654782275949324,,
zeroshot:deepseek,medium,15,0.12097476597476597,,
zeroshot:openai,easy,48,0.11801324832574833,,
zeroshot:openai,hard,4,0.0,,
zeroshot:openai,medium,144,0.19106421934546935,,
